noise_level,psnr_mean,psnr_std,ssim_mean,ssim_std
0.005,33.39326562122059,3.5113734960548206,0.90285814,0.04868113621012337
0.01,34.03128828863825,3.7298310235152443,0.91267186,0.052244055364008085
0.05,32.082198786622826,3.442255040927104,0.8717276,0.06902104570222004
0.1,30.491708140662304,3.2551495621657236,0.8354815,0.0797412214788324

avg_time_sec,0.0373
